Date,Province,Cases
,WestVlaanderen,4
,VlaamsBrabant,6
,OostVlaanderen,11
,Namur,1
,Luxembourg,1
,Liège,44
,Hainaut,5
,Brussels,11
,BrabantWallon,4
,Antwerpen,4
1 mrt. 2020,Antwerpen,1
1 mrt. 2020,VlaamsBrabant,6
1 mrt. 2020,OostVlaanderen,1
1 mrt. 2020,Limburg,1
1 mrt. 2020,Liège,2
1 mrt. 2020,Brussels,6
2 mrt. 2020,Liège,1
2 mrt. 2020,WestVlaanderen,2
2 mrt. 2020,OostVlaanderen,1
2 mrt. 2020,VlaamsBrabant,9
2 mrt. 2020,Antwerpen,1
2 mrt. 2020,BrabantWallon,1
2 mrt. 2020,Brussels,4
3 mrt. 2020,Brussels,2
3 mrt. 2020,WestVlaanderen,4
3 mrt. 2020,VlaamsBrabant,6
3 mrt. 2020,OostVlaanderen,3
3 mrt. 2020,Namur,1
3 mrt. 2020,Limburg,3
3 mrt. 2020,Liège,7
3 mrt. 2020,Antwerpen,5
3 mrt. 2020,BrabantWallon,3
3 mrt. 2020,Hainaut,1
4 mrt. 2020,Antwerpen,6
4 mrt. 2020,WestVlaanderen,1
4 mrt. 2020,VlaamsBrabant,11
4 mrt. 2020,OostVlaanderen,3
4 mrt. 2020,Namur,1
4 mrt. 2020,Limburg,9
4 mrt. 2020,Liège,5
4 mrt. 2020,Hainaut,6
4 mrt. 2020,Brussels,5
4 mrt. 2020,BrabantWallon,1
5 mrt. 2020,BrabantWallon,3
5 mrt. 2020,WestVlaanderen,14
5 mrt. 2020,Antwerpen,11
5 mrt. 2020,VlaamsBrabant,17
5 mrt. 2020,OostVlaanderen,9
5 mrt. 2020,Namur,1
5 mrt. 2020,Limburg,8
5 mrt. 2020,Liège,6
5 mrt. 2020,Hainaut,10
5 mrt. 2020,Brussels,2
6 mrt. 2020,BrabantWallon,5
6 mrt. 2020,Brussels,9
6 mrt. 2020,Hainaut,4
6 mrt. 2020,Liège,8
6 mrt. 2020,Limburg,17
6 mrt. 2020,Luxembourg,1
6 mrt. 2020,Namur,5
6 mrt. 2020,OostVlaanderen,16
